model,weight,is_random,transrate,n_samples,feature_dim
resnet101,IMAGENET1K_V1,False,456.9780657410165,31588,2048
resnet101,IMAGENET1K_V2,False,602.800457155573,31588,2048
resnet101,random_seed_1410,True,390.1689906906213,31588,2048
resnet152,IMAGENET1K_V1,False,474.18787442413395,31588,2048
resnet152,IMAGENET1K_V2,False,591.5394145106893,31588,2048
resnet152,random_seed_1410,True,456.40351567939433,31588,2048
resnet18,IMAGENET1K_V1,False,86.05008945815894,31588,512
resnet18,random_seed_1410,True,36.69157978591625,31588,512
resnet34,IMAGENET1K_V1,False,85.57102580617152,31588,512
resnet34,random_seed_1410,True,53.31217393056204,31588,512
resnet50,IMAGENET1K_V1,False,446.8984719489481,31588,2048
resnet50,IMAGENET1K_V2,False,557.6165848309765,31588,2048
resnet50,random_seed_1410,True,285.95600236313385,31588,2048
resnext101_32x8d,IMAGENET1K_V1,False,457.5138046187558,31588,2048
resnext101_32x8d,IMAGENET1K_V2,False,540.9046921703248,31588,2048
resnext101_32x8d,random_seed_1410,True,7.290215000899408,31588,2048
resnext50_32x4d,IMAGENET1K_V1,False,430.90656241997385,31588,2048
resnext50_32x4d,IMAGENET1K_V2,False,593.0858190524168,31588,2048
resnext50_32x4d,random_seed_1410,True,5.091685077911201,31588,2048
wide_resnet101_2,IMAGENET1K_V1,False,425.70034615222175,31588,2048
wide_resnet101_2,IMAGENET1K_V2,False,609.9284905418635,31588,2048
wide_resnet101_2,random_seed_1410,True,362.147700502308,31588,2048
wide_resnet50_2,IMAGENET1K_V1,False,417.70219885768984,31588,2048
wide_resnet50_2,IMAGENET1K_V2,False,582.2082502987028,31588,2048
wide_resnet50_2,random_seed_1410,True,324.0401196977791,31588,2048
